table_name,date,o,h,l,c,v,a
1000001,20190628,2992.24,2992.24,2961.22,2978.88,18143.15,18364176.7936
1000001,20190701,3024.62,3045.37,3014.69,3044.9,25084.04,26654105.6
1000001,20190702,3042.58,3048.48,3033.78,3043.94,21452.06,22956661.1456
1000001,20190703,3031.83,3031.83,3006.32,3015.26,21229.62,21865799.68
1000001,20190704,3015.68,3024.5,2991.91,3005.25,19441.51,20226639.4624
1000001,20190705,3004.74,3014.85,2990.92,3011.06,15675.54,16318083.8912
1000001,20190708,2997.81,2997.81,2918.72,2933.36,21154.13,20556881.92
1000001,20190709,2928.82,2937.76,2912.81,2928.23,14511.06,15425142.784
1000001,20190710,2935.19,2936.75,2908.16,2915.3,13548.35,14123625.6768
1000001,20190711,2928.06,2945.8,2907.89,2917.76,14369.25,15218140.7744
1000001,20190712,2915.34,2938.53,2905.81,2930.55,13779.48,14291887.7184
1000001,20190715,2921.55,2955.0,2886.7,2942.19,16764.34,17653320.9088
1000001,20190716,2938.64,2944.82,2931.29,2937.62,13181.18,14076639.6416
1000001,20190717,2933.02,2942.07,2924.46,2931.69,14963.16,15216295.936
1000001,20190718,2921.74,2921.74,2901.18,2901.18,14988.88,14908884.5824
1000001,20190719,2909.68,2939.6,2909.68,2924.2,14946.96,14907121.664
1000001,20190722,2925.79,2927.16,2879.69,2886.97,18067.5,20428944.1792
1000001,20190723,2886.9,2901.36,2883.05,2899.94,12931.05,14807734.6816
1000001,20190724,2907.93,2936.45,2907.79,2923.28,15524.58,17885809.8688
1000001,20190725,2923.19,2937.36,2916.15,2937.36,14568.44,17535637.9136
1000001,20190726,2928.06,2948.33,2924.45,2944.54,13934.34,15877467.3408
1000001,20190729,2943.92,2948.47,2932.98,2941.01,12799.18,14743914.0864
1000001,20190730,2946.26,2965.63,2946.26,2952.34,14831.65,17086634.3936
1000001,20190731,2944.4,2944.4,2926.49,2932.51,14105.23,16460786.8928
1000001,20190801,2920.85,2927.34,2901.75,2908.77,14238.98,17111564.288
1000001,20190802,2861.33,2872.47,2851.44,2867.84,18488.84,21632740.5568
1000001,20190805,2854.58,2863.69,2821.5,2821.5,16741.94,19689147.5968
1000001,20190806,2776.99,2787.42,2733.92,2777.56,23112.37,25520922.624
1000001,20190807,2789.02,2792.69,2768.68,2768.68,15771.68,17647573.4016
1000001,20190808,2784.18,2799.69,2782.24,2794.55,14953.96,17815614.2592
1000001,20190809,2805.59,2808.33,2770.48,2774.75,14824.03,17114033.3568
1000001,20190812,2781.98,2814.99,2776.62,2814.99,13156.34,16252326.7072
1000001,20190813,2798.05,2802.04,2790.61,2797.26,13091.65,15395751.5264
1000001,20190814,2824.49,2829.89,2807.72,2808.91,14401.46,17394488.1152
1000001,20190815,2762.34,2815.9,2756.83,2815.8,15277.22,17367053.1072
1000001,20190816,2817.57,2840.32,2811.8,2823.82,14858.23,18613937.7664
1000001,20190819,2835.52,2883.1,2829.85,2883.1,21454.67,24709221.5808
1000001,20190820,2879.08,2892.08,2875.0,2880.0,18967.72,20977434.624
1000001,20190821,2875.47,2885.59,2872.56,2880.33,15901.97,18318727.5776
1000001,20190822,2887.66,2888.5,2867.55,2883.44,14920.62,16966216.9088
1000001,20190823,2885.15,2902.46,2878.74,2897.43,15915.68,19256713.216
